bloque,familia,subfamilia,codigo,descripcion,equivalencia_nuevo,equivalencia_existente,equivalencia_unica
Prima Gross Adds,Red Infinity Smart,,MSDFK,RED Infinity Smart TP sin Datos,1.0,0.5,
Prima Gross Adds,Red Infinity Smart,,MPFKH,RED Hoteles,1.0,0.5,
Prima Gross Adds,Red Infinity Pro,,MTXKP,RED Infinity Full Speed,1.0,1.0,
Prima Gross Adds,Red Infinity Pro,,MX1KP,RED Infinity 10Mbps,1.0,1.0,
Prima Gross Adds,Red Infinity Pro,,MTXK5,RED Infinity 5GB,1.0,1.0,
Prima Gross Adds,Red Infinity Pro,,MSDXK,RED Infinity Sólo Voz,1.0,0.5,
Prima Gross Adds,Red Infinity Pro,,MDTKX,RED Infinity Tablet 5GB,1.0,0.5,
Prima Gross Adds,Red Infinity Pro,,MDTKW,RED Infinity Tablet 5GB,1.0,0.5,
Prima Gross Adds,Red Infinity Pro,,MPXKH,RED Infinity Hoteles,1.0,0.5,
Prima Gross Adds,Red Infinity Pro,,MDYKC,Tarifa Red Infinity Oficinal Móvil 5GB,1.0,0.5,
Prima Gross Adds,Red infinity Plus,,MTVKG,RED Infinity Plus Tarifa Plana Bono (10 líneas),1.0,1.0,
Prima Gross Adds,Red infinity Plus,,MTVKP,RED Infinity Plus Tarifa Plana 24H,1.0,1.0,
Prima Gross Adds,Red infinity Plus,,MTVKS,RED Infinity Plus Tarifa Plana 10Mbps,1.0,1.0,
Prima Gross Adds,Red infinity Plus,,MTVKV,RED Infinity Plus TP 24 H Speed,1.0,1.0,
Prima Gross Adds,Red Infinity Lite,,MIKFS,RED Infinity Tarifa ilimitada Full Speed,1.0,1.0,
Prima Gross Adds,Red Infinity Lite,,MIKDI,RED Infinity Tarifa ilimitada 10Mbps,1.0,1.0,
Prima Gross Adds,Red Infinity Lite,,MIKDO,RED Infinity Tarifa ilimitada 2Mbps,1.0,1.0,
Prima Gross Adds,Red Infinity Basic,,MTBKV,RED Infinity TP 24 H Shared,1.0,1.0,
Prima Gross Adds,Red Infinity Basic,,MTTKB,RED Infinity Tablet,1.0,0.5,
Prima Gross Adds,Red Infinity 50Gb,,MTSDK,RED Infinity Tarifa Plana sin Datos,1.0,0.5,
Prima Gross Adds,Red Infinity 50Gb,,MTVKZ,RED Infinity Tarifa Plana 24 horas Bono,1.0,1.0,
Prima Gross Adds,Red Infinity 50Gb,,MTVK1,Red Infinity Tarifa Plana 24 Horas 1GB,1.0,1.0,
Prima Gross Adds,Red Infinity 50Gb,,MTVK2,Red Infinity Tarifa Plana 24 Horas 2GB,1.0,1.0,
Prima Gross Adds,Red Infinity 50Gb,,MTVK5,Red Infinity Tarifa Plana 24 Horas 5GB,1.0,1.0,
Prima Gross Adds,Red Infinity 50Gb,,MTVK0,Red Infinity Tarifa Plana 24 Horas 10GB,1.0,1.0,
Prima Gross Adds,Red Infinity 50Gb,,MDTKL,RED Infinity Tablet,1.0,0.5,
Prima Gross Adds,Red Empresa,,PTPKB,RED Empresa TP 24 Horas,1.0,1.0,
Prima Gross Adds,Red Empresa,,MTPKB,RED Empresa TP 24 Horas,1.0,1.0,
Prima Gross Adds,Red Empresa,,MTPKR,RED Empresa TP 24 Horas,1.0,1.0,
Prima Gross Adds,Red Empresa,,PPMKB,RED Empresa 5,1.0,1.0,
Prima Gross Adds,Red Empresa,,MPMKB,RED Empresa 5,1.0,0.5,
Prima Gross Adds,Red Empresa,,MPMKR,RED Empresa 5,1.0,0.5,
Prima Gross Adds,Red Empresa,,MPMKH,Red Empresa Hoteles,1.0,0.5,
Prima Gross Adds,Red Empresa,,MTPK5,RED Empresa TP 24 Horas,1.0,1.0,
Prima Gross Adds,Red Empresa,,MTPK1,Tarifa Plana 24 horas 1GB,1.0,1.0,
Prima Gross Adds,Red Empresa,,MT2KR,RED Empresa TP 12 Horas,1.0,1.0,
Prima Gross Adds,Red Empresa,,MT2KB,RED Empresa TP 12 Horas,1.0,1.0,
Prima Gross Adds,Red Empresa,,PT2KB,RED Empresa TP 12 Horas,1.0,1.0,
Prima Gross Adds,Red Empresa,,MITPK,RED Empresa TP 24 Horas,1.0,1.0,
Prima Gross Adds,Red Empresa,,PITPK,RED Empresa TP 24 Horas,1.0,1.0,
Prima Gross Adds,Red Empresa,,MIT2K,RED Empresa TP 12 Horas,1.0,1.0,
Prima Gross Adds,Red Empresa,,PIT2K,RED Empresa TP 12 Horas,1.0,1.0,
Prima Gross Adds,Red Empresa,,PIPMK,RED Empresa 5,1.0,1.0,
Prima Gross Adds,Red Empresa,,MIPMK,RED Empresa 5,1.0,1.0,
Prima Gross Adds,Red Empresa,,PIDTK,RED Empresa Tablet,1.0,0.5,
Prima Gross Adds,Red Empresa,,MIDTK,RED Empresa Tablet,1.0,0.5,
Prima Gross Adds,Oferta Micro,,MTPK2,Tarifa Plana 24H 20GB Micro Empresa,1.0,1.0,
Prima Gross Adds,Oferta Micro,,MTPK0,Tarifa Plana 24H 10GB Micro Empresa,1.0,1.0,
Prima Gross Adds,Oferta Micro,,MPMK6,Tarifa 5 de 6GB Micro Empresa,1.0,1.0,
Prima Gross Adds,Oferta Micro,,MPMK2,Tarifa 5 de 2GB Micro Empresa,1.0,1.0,
Prima Gross Adds,DoS*,,MVLCO,Plan Voz LPD corporate VPN,1.0,1.0,
Prima Gross Adds,DoS*,,MVLD1,PLAN MUDO DE VPN,1.0,1.0,
Prima Gross Adds,B.A. Fija,,FN1GB,Fibra 1GB NEBA,1.0,1.0,
Prima Gross Adds,B.A. Fija,,FG1GB,Fibra 1GB NEBA ORO,1.0,1.0,
Prima Gross Adds,B.A. Fija,,DF4CM,Vodafone Fibra 1Gb,1.0,1.0,
Prima Gross Adds,B.A. Fija,,DF50M,Vodafone Internet Fibra 100 Mb,1.0,1.0,
Prima Gross Adds,B.A. Fija,,FG50M,Fibra 100 Mb NEBA ORO,1.0,1.0,
Prima Gross Adds,B.A. Fija,,DFN3M,Fibra 100 Mb NEBA,1.0,1.0,
Prima Gross Adds,B.A. Fija,,FN600,Fibra 600 Mb NEBA,1.0,1.0,
Prima Gross Adds,B.A. Fija,,FG600,Fibra 600 Mb NEBA ORO,1.0,1.0,
Prima Gross Adds,B.A. Fija,,DF6CM,Fibra 600 Mb Empresas,1.0,1.0,
Prima Gross Adds,B.A. Fija,,FP6MA,Fibra 600 Mb Empresas Propia,1.0,1.0,
Prima Gross Adds,B.A. Fija,,FN6MA,Fibra 600 Mb Empresas Neba,1.0,1.0,
Prima Gross Adds,B.A. Fija,,FG6MA,Fibra 600 Mb Empresas Neba Oro,1.0,1.0,
Prima Gross Adds,B.A. Fija,,FP1GA,Fibra 1Gb Mb Empresas Propia,1.0,1.0,
Prima Gross Adds,B.A. Fija,,FN1GA,Fibra 1Gb Mb Empresas Neba,1.0,1.0,
Prima Gross Adds,B.A. Fija,,FG1GA,Fibra 1Gb Mb Empresas Neba Oro,1.0,1.0,
Prima Gross Adds,Red Empresa,,MDTKB,RED Empresa Tablet,1.0,0.5,
Prima Gross Adds,Red Empresa,,MDTKR,RED Empresa Tablet,1.0,0.5,
Prima Gross Adds,Red Empresa,,PDTKB,RED Empresa Tablet,1.0,0.5,
